name,pos,fi,expected,espn_keeper,actual,status
Bijan Robinson,RB,1,68,56,67,sold
CeeDee Lamb,WR,5,60,51,66,sold
Christian McCaffrey,RB,7,53,53,70,sold
Ashton Jeanty,RB,6,53,42,58,sold
Saquon Barkley,RB,10,53,37,47,sold
Derrick Henry,RB,8,53,36,44,sold
Justin Jefferson,WR,6,53,48,62,sold
Breece Hall,RB,11,46,33,40,sold
Kyren Williams,RB,13,41,21,27,sold
A.J. Brown,WR,9,40,30,37,sold
DeVonta Smith,WR,10,40,22,25,sold
Nico Collins,WR,11,29,31,41,sold
Garrett Wilson,WR,13,29,30,39,sold
Omarion Hampton,RB,16,27,32,42,sold
Josh Jacobs,RB,18,27,27,35,sold
Colston Loveland,TE,3,26,13,17,sold
Ladd McConkey,WR,18,25,17,23,sold
Drake Maye,QB,2,24,10,13,sold
Jalen Hurts,QB,4,24,9,11,sold
Caleb Williams,QB,3,24,3,4,sold
Jeremiyah Love,RB,23,23,45,51,sold
David Montgomery,RB,22,23,8,10,sold
Davante Adams,WR,27,22,18,23,sold
Tucker Kraft,TE,4,22,2,1,sold
Bo Nix,QB,5,17,4,4,sold
Emeka Egbuka,WR,30,16,19,24,sold
Lamar Jackson,QB,6,16,10,12,sold
Trevor Lawrence,QB,7,16,4,4,sold
Bhayshul Tuten,RB,27,12,9,10,sold
Sam LaPorta,TE,10,10,6,5,sold
George Kittle,TE,6,10,2,1,sold
Dallas Goedert,TE,9,10,2,1,sold
Jake Ferguson,TE,8,10,2,1,sold
Joe Burrow,QB,8,9,5,6,sold
Brock Purdy,QB,10,9,4,4,sold
Dak Prescott,QB,9,9,4,3,sold
Tyler Shough,QB,19,4,1,1,sold
Mark Andrews,TE,14,4,2,1,sold
Isaiah Likely,TE,18,4,2,1,sold
Travis Kelce,TE,21,4,2,1,sold
Juwan Johnson,TE,16,4,1,,available
Jake Tonges,TE,42,2,1,,available
